context_1	context_0	reply	label			
	Могу ли я делиться своими заметками или конспектами по курсам с другими студентами на платформе?	Нет, такой функции на платформе нет и она не планируется.	good			
	Как часто добавляются новые товары в обменник баллов?	Все новости о добавлении новых товаров в обменник можно найти на главной странице. 	good			
	Где я могу узнать об условиях возврата баллов или отмены покупок в обменнике?	Обратитесь в техническую поддержку сайта для получения помощи по этому вопросу.	good			
	Есть ли возможность получить сертификат или подтверждение о прохождении курса?	Такой возможности на платформе нет, но она планируется.	good			
	Можно ли поменять оформление на экстраверта/интроверта?	Да. Это можно сделать в настройках профиля.	good			
	Можно ли сбросить прогресс по курсу и пройти его заново?	Нет, такой функции на платформе нет и она не планируется.	good			
	Где посмотреть статистику по курсам?	Статистика по курсам находится в личном кабинете.	good			
	Как узнать, на сколько баллов оценивается курс?	В описании курса есть информация про общее количество баллов за курс	good			
	Потратил баллы не на тот купон, можно вернуть баллы?	Обратитесь в поддержку. 	good			
	При авторизации появилась ошибка Internal Server Error, что делать??	Обратитесь в поддержку. 	good			
	Не согласен с решением на сайте/с постановкой баллов за свое задание, куда обращаться?	Обратитесь в поддержку. 	good			
	Обязательно ли проходить весь курс, чтобы получить за него баллы?	Баллы Вы получаете за решения задач, можно набирать их частично	good			
	Можно ли с кем-то поменять баллами? Друг может отдать мне их, они ему не нужны	Такой возможности нет	good			
	Решение проверяется автоматически или нет? 	Решение проверяет преподаватель	good			
	Как связаться с преподавателем, который проверил? 	Обратитесь в поддержку. 	good			
	Можно ли разработаь свой курс на платформе? 	Нет, если Вы являетесь студентом, то такой возможности нет	good			
	Как оставить отзыв на курс? Могу ли я его как-то оценить? 	Пока такого функционала нет, но можете следить за новостями:)	good			
	Можно ли поставить аватарку в моем профиле?	Нет, такой возможности нет	good			
	Есть ли у курсов рейтинги? Какие самые популярные? 	Можете посмотреть по поиску курсов	good			
	Есть ли методички по курсу? Можно ли найти все содержание в одном месте (в файлике, например)? 	Нет, такой возможности нет (???)	good			
	Изменил свою фамилию из-за смены паспорта, ее можно на платформе поменять? 	Обратитесь в поддержку. 	good			
	Могут ли студенты не из Политеха проходить курсы??	Нет, не могут	good			
	Если я посоветую другу сайт, то мне будут какие-то подарки за приглашение? 	 	good			
 			good			
Нет, такой возможности нет (???)			good			
"				"			good			
	Есть ли рейтинг среди студентов на курсе? 	 	good			
 			good			
Нет, такой возможности нет (???)			good			
"				"			good			
	Как записаться на курс?	"Зайти на страницу с курсами, выбрать нужный курс и нажать кнопку ""записаться на курс"""	good			
	Как узнать, сколько у меня баллов?	"В разделе ""личный кабинет""."	good			
	Как я могу следить за новостями и обновлениями платформы?	На главную страницу сайта выкладываются все обновления и новости.	good			
	Можно ли поменять оформление на экстраверта/амбиверта/интроверта?	Поменять оформление сайта можно в настройках профиля.	good			
	Где посмотреть статистику по курсам?	Ваша статистика по курсам находится в личном кабинете.	good			
	Как часто добавляются новые товары в обменник баллов?	Все новости о добавлении новых товаров в обменник можно найти на главной странице. 	good			
	Как удалить профиль ?	"Для того , чтобы удалить профиль необходимо перейти в ''Профиль'' - ''настройки''- ''удалить профиль"""	good			
	За что можно получить баллы ? 		good			
	когда стоит приступать к домашнему заданию?	После прохождения материала стоит приступить выполнять домашнее задание по пройденной теме для закрепления материал	good			
	как получить обратную связь по домашнему заданию? 	Домашнее задание на наше платформе проверяется автоматически, если же у Вас остались вопросы, можете обратиться к куратору/преподавателю.	good			
	как связаться с преподавателем/куратором курса? 	Вы можете написать на почту указанную на сайте и Вам погут решить все ваши проблемы.	good			
	в каком порядке можно проходить лекции?	Лекции лучше всего проходить по порядку, как они прописаны, так материал будет более последователен и все будет понятнее.	good			
	Как зарегистрироваться на платформе?	"После прохождения теста на тип личности перейдите слева на вкладку ""авторизация"". Выберите регистрацию."	good			
	Как войти в личный кабинет?	"После прохождения теста на тип личности перейдите слева на вкладку ""авторизация"". Справа будет поля для логина и пароля. "	good			
	Что делать, если забыл логин или пароль / как сбросить пароль / как поменять пароль?	"Если вы забыли пароль, на вкладке ""авторизация"" под полем входа нажмите ""забыли пароль"". Далее по инструкции введите привязанную почту, на нее придут дальнейшие указания. "	good			
	Как записаться на курс?	"Нажмите на значок домика на странице слева. Перейдите во вкладку ""курсы"". Выберите из списка курсов нужный и нажмите ""начать"". "	good			
	Как отслеживать прогресс по курсу?	"Перейдите на вкладку ""курсы"". Выберите нужный курс. В новой вкладке будет показан прогресс по данному курсу. "	good			
	Как и где посмотреть накопленные баллы?	Накопленные баллы можно отслеживать в личном кабинете в правом верхнем углу.	good			
	Как обменять баллы на (что-то)?	"Нажмите на значок домика на странице слева. Перейдите во вкладку ""обменник"". Выберите из списка на что вы бы хотели потратить баллы. "	good			
	Что делать, если не приходит сброс пароля на почту?	"Для начала проверьте на почте вкладку ""спам"". Если письмо всё же не пришло, напишите в техническую поддержку внизу страницы."	good			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				конечно знаешь . я могу сказать это , судя по упаковке .	good	0.9613074756
				не знаешь .	bad	0.9060903538
				я только что узнал , и то случайно .	good	0.8391887094
				странно .	neutral	0.9183086914
				я знаю , что ты знаешь .	good	0.9145365135
				знаешь .	bad	0.9098645401
				мы в суде сейчас и у него есть адвокат .	good	0.8916955394
				никто не может избежать закона .	good	0.9351009376
				вы собираетесь выдать его , зная , что клингоны не предоставят ему честный суд .	bad	0.6039999102
				я не адвокат . вы не судья . это не законный суд .	good	0.7593144537
				и кто будет судьёй ?	good	0.8941912305
				мы должны довести дело до суда .	good	0.8116120298
				что значит не знаешь ?	good	0.9474313954
				что ты делаешь ?	good	0.9210818126
				не знаете ?	neutral	0.715416128
				а она - то знает ?	good	0.9587324196
				я знаю , где она .	good	0.9452431102
				ты говоришь , что есть место , где тебе дают деньги . . .	good	0.7395744458
				всегда пожалуйста , гэри .	good	0.9640169481
				нет проблем .	neutral	0.6490347852
				не за что .	neutral	0.5813940364
				всегда пожалуйста .	neutral	0.7022688827
				не за что , сэр .	neutral	0.5263594037
				всегда пожалуйста , мистер уайт .	good	0.9527420991
				но разве каждый из нас не сторож брату своему ?	bad	0.8957755715
				если это сделали вы , то , очевидно , что вы будете лгать . я не лгу !	bad	0.9913041254
				и не надо .	neutral	0.9426990403
				да , дайте нам слово . отвечай , дантон !	good	0.8384443562
				преподобный , можно ли предположить , что вы в своем лице представляете жителей аптона ?	good	0.850238577
				будете , если хотите получить опеку над внучкой .	good	0.867095052
				отлично .	neutral	0.9393889071
				хорошо , слушайте .	neutral	0.9912003775
				я готов , ник .	good	0.9984461394
				все готовы .	good	0.9286873793
				вы должны присоединится .	bad	0.4636238245
				мы готовы .	good	0.9945177188
				мэй меня научила .	good	0.7382782751
				потому что могу .	neutral	0.9292839223
				потому что кто - то должен исправить ошибку твоего отца .	good	0.8328166269
				я этого не делаю , дьюи .	neutral	0.601054092
				я их не делаю .	bad	0.9386743174
				потому что это захватывающе .	good	0.9672766161
				я еду .	neutral	0.9698090547
				спасибо за предложение , но за мной приедет мама . она должна быть уже в пути .	good	0.9366650961
				уже еду .	good	0.8572692301
				куда ?	bad	0.459690322
				поеду ?	bad	0.8092167573
				нет , не поеду .	good	0.9933056764
				и у него был сообщник .	good	0.8768830976
				последний раз он отсидел 12 лет за вооруженного ограбление .	bad	0.9970270127
				его возлюбленная и его босс из мира преступности , конти , они обманули его в день его женитьбы .	good	0.9429034331
				за кражу со взломом .	good	0.917053632
				его жена до сих пор считается пропавшей без вести .	good	0.9781546866
				месяцами он занимался исключительно созданием часов .	good	0.7051155404
				она улетела более ранним рейсом !	good	0.7318954895
				да , увидимся , симона !	good	0.9622270693
				наши паспорта остались в отеле на регистрации .	good	0.7732661278
				да откуда все знают что я отправляюсь в бразилию ?	good	0.9346832649
				я тронут , но рори вернётся с минуты на минуту .	good	0.7673400543
				ты в порядке ? не думаю , что я куда - то еду .	good	0.4336131923
				конечно , хочу .	bad	0.7487687207
				потому что атлантис не может позволить себе потерять меня .	good	0.957050076
				потому что ты здесь .	good	0.9756814727
				потому что я не справляюсь со своей работой .	good	0.9588745061
				потому . . . что я начальник .	good	0.9850194296
				потому что нельзя отворачиваться , когда на тебя наставили пушку .	good	0.8763078778
				потому что сидишь на таблетках , но не занимаешься сексом .	good	0.9647668996
				я не . . .	bad	0.9734218288
				мы сидели там и ели попкорн .	good	0.9766024688
				нет , это не кинотеатр .	bad	0.9977734344
				"смотрели  невесту франкенштейна """" ."""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				а у меня сын .	good	0.9711505439
				я её приёмный сын .	bad	0.9485103526
				ребенок ?	bad	0.9991966993
				" и кто родился последним ?"""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				поднимайся !	bad	0.9963125423
				поднимайся же !	good	0.8206226042
				готово , капитан !	bad	0.5707392247
				поднимайся ! назад !	neutral	0.3533262892
				если бы ещё суметь !	good	0.8935725905
				просыпайся ! быстрее !	good	0.9489757634
				нет , я совсем ничего не знаю	good	0.9630981409
				знаю , что ?	bad	0.9864281154
				нет , не знаю .	good	0.9572740944
				нет , но он может знать того , кто знает .	good	0.8325830902
				кажется , знаю .	neutral	0.6309899729
				нет , но эм . . .	bad	0.5851154318
				. . конечно , нет .	good	0.8270284734
				ну , ладно . . .	neutral	0.9765739109
				да .	neutral	0.971172704
				вы не знаете .	bad	0.9586181807
				пожалуйста , я прошу вас . . .	good	0.9540758259
				я настаиваю .	neutral	0.5445059196
				вы не удивлены .	good	0.8693875097
				"приведите его  ."""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				good		
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				good		
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
